上海频道,#genre#
都市剧场,http://112.46.105.20:8009/hls/72/index.m3u8
第一财经,http://ls.qingting.fm/live/276.m3u8
上海新闻综合,https://mgtv.ottiptv.cc/mg/651632657.m3u8?userid=5559462299&sign=de6e35f28f90dbd1204dbebe6c73edb729a6336abcd4e4349f4c267e6ed5f29c91ef0783fe8f9e3e9c32aca2fabfdaab0bf417d20e7b4fa60f436f43a8ea7f1dbe9dbcc184a208777044f47af9d31a8602&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
上海第一财经,https://mgtv.ottiptv.cc/mg/608780988.m3u8?userid=5559462299&sign=7c1e93273a4327bdd7f1f7f19be58d0cbc4cda206d6864e09c19ed9479c789fccd1102cbf07cd650dce586be157ee32f94b16213ba698ea6d84fd835c236b3e99f977945885956274d37b91d8423c73038&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
上海新闻综合,https://mgtv.ottiptv.cc/migu/651632657.m3u8?migutoken=348c9164063c2b1df215dd2fa7cd92cb119d8a335ae0edfb5d615a6c714e71b669eee2f5ff1730afa92af7ca41d0aa96e3a280d7e5f2069eb8a3b852f3ebc270147489d7c8bfb08a7c4b9c4d80
哈哈炫动,http://120.238.94.10:9901/tsfile/live/1037_1.m3u8
都市剧场,https://satellitepull.cnr.cn/live/wxcqxwgb/playlist.m3u8
上海第一财经,https://satellitepull.cnr.cn/live/wx32dycjgb/playlist.m3u8
新闻综合,https://m3u8channel.yunxya.com/nmip-media/channellive/channel100028/playlist.m3u8
上海新闻综合,http://gslbmgsplive.miguvideo.com/wd_r4/dfl/xinwenzonghehd/1200/index.m3u8?msisdn=202512010802442660350f9d7b45b183d986e49372f1b1&mdspid=&spid=699212&netType=0&sid=5500002275&pid=2028597139&timestamp=20251201080244&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=651632657&ParentNodeID=-99&assertID=5500002275&client_ip=218.28.233.106&SecurityKey=20251201080244&promotionId=&mvid=5100001716&mcid=500020&playurlVersion=WX-A1-8.11.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=c02398bbae84bd51e84a83ab8087be74&ddCalcu=4c70ee20b31790880b8bbaae3884ab4d85e1
上海第一财经,http://gslbmgsplive.miguvideo.com/wd_r1/2018/bestv/dycj/1000/index.m3u8?msisdn=2025120108024487361d17cdd946448c7d29521c86f8e3&mdspid=&spid=699212&netType=0&sid=2201008312&pid=2028597139&timestamp=20251201080244&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608780988&ParentNodeID=-99&assertID=2201008312&client_ip=218.28.233.106&SecurityKey=20251201080244&promotionId=&mvid=2201008312&mcid=500020&playurlVersion=WX-A1-8.11.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=0a79567929474f14761c25407ccebe47&ddCalcu=704aee70b98e50c6c77902495427c41f6174
