更新时间: 2026-05-01 00:52:07（北京时间）

更新时间,#genre#
2026-05-01 00:52:07,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV1,http://123.60.75.150:540/rtp/239.45.3.145:5140$上海市电信_result_ip
CCTV2,http://123.60.75.150:540/rtp/239.45.3.208:5140$上海市电信_result_ip
CCTV3,http://123.60.75.150:540/rtp/239.45.1.68:5140$上海市电信_result_ip
CCTV4,http://123.60.75.150:540/rtp/239.45.0.2:5140$上海市电信_result_ip
CCTV5,http://123.60.75.150:540/rtp/239.45.1.69:5140$上海市电信_result_ip
CCTV6,http://123.60.75.150:540/rtp/239.45.1.70:5140$上海市电信_result_ip
CCTV7,http://123.60.75.150:540/rtp/239.45.3.56:5140$上海市电信_result_ip
CCTV8,http://123.60.75.150:540/rtp/239.45.1.71:5140$上海市电信_result_ip
CCTV9,http://123.60.75.150:540/rtp/239.45.3.4:5140$上海市电信_result_ip
CCTV10,http://123.60.75.150:540/rtp/239.45.3.8:5140$上海市电信_result_ip
CCTV11,http://123.60.75.150:540/rtp/239.45.1.196:5140$上海市电信_result_ip
CCTV12,http://123.60.75.150:540/rtp/239.45.3.10:5140$上海市电信_result_ip
CCTV13,http://123.60.75.150:540/rtp/239.45.1.198:5140$上海市电信_result_ip
CCTV14,http://123.60.75.150:540/rtp/239.45.3.23:5140$上海市电信_result_ip
CCTV15,http://123.60.75.150:540/rtp/239.45.1.200:5140$上海市电信_result_ip
CCTV16,http://123.60.75.150:540/rtp/239.45.0.12:5140$上海市电信_result_ip
CCTV17,http://123.60.75.150:540/rtp/239.45.3.52:5140$上海市电信_result_ip
CCTV4K,http://123.60.75.150:540/rtp/239.45.0.55:5140$上海市电信_result_ip
CCTV4K,http://123.60.75.150:540/rtp/233.18.204.188:5140$上海市电信_result_ip
兵器科技,http://123.60.75.150:540/rtp/239.45.1.74:5140$上海市电信_result_ip
兵器科技,http://123.60.75.150:540/rtp/239.45.0.45:5140$上海市电信_result_ip
兵器科技,http://123.60.75.150:540/rtp/233.18.204.178:5140$上海市电信_result_ip
