更新时间,#genre#
2026-04-24 06:53:18,url
央视频道,#genre#:
CCTV2,http://183.165.195.249:7000/udp/238.1.78.235:7752
CCTV3,http://183.165.195.249:7000/udp/238.1.78.170:7232
CCTV5,http://183.165.195.249:7000/udp/238.1.78.171:7240
CCTV6,http://183.165.195.249:7000/udp/238.1.78.172:7248
CCTV10,http://183.165.195.249:7000/udp/238.1.78.241:7800
CCTV11,http://183.165.195.249:7000/udp/238.1.78.206:7502
CCTV12,http://183.165.195.249:7000/udp/238.1.78.242:7808
CCTV13,http://183.165.195.249:7000/udp/238.1.79.35:4392
CCTV14,http://183.165.195.249:7000/udp/238.1.78.243:7816
CCTV15,http://183.165.195.249:7000/udp/238.1.78.222:7648
CCTV17,http://183.165.195.249:7000/udp/238.1.78.178:7296
CCTV 4K,http://183.165.195.249:7000/udp/238.1.78.137:6968

卫视频道,#genre#:
三沙卫视,http://183.165.195.249:7000/udp/238.1.78.27:6144
东南卫视,http://183.165.195.249:7000/udp/238.1.78.22:6104
东南卫视,http://183.165.195.249:7000/udp/238.1.78.62:6368$标清
云南卫视,http://183.165.195.249:7000/udp/238.1.78.89:6584$标清
兵团卫视,http://183.165.195.249:7000/udp/238.1.78.104:6704
厦门卫视,http://183.165.195.249:7000/udp/238.1.78.246:7840
四川卫视,http://183.165.195.249:7000/udp/238.1.78.30:6168
四川卫视,http://183.165.195.249:7000/udp/238.1.78.71:6440$标清
宁夏卫视,http://183.165.195.249:7000/udp/238.1.78.109:6744
山东卫视,http://183.165.195.249:7000/udp/238.1.78.66:6400$标清
山西卫视,http://183.165.195.249:7000/udp/238.1.78.95:6632$标清
广东卫视,http://183.165.195.249:7000/udp/238.1.78.161:7160
广东卫视,http://183.165.195.249:7000/udp/238.1.78.68:6416$标清
广西卫视,http://183.165.195.249:7000/udp/238.1.78.70:6432$标清
新疆卫视,http://183.165.195.249:7000/udp/238.1.78.110:6752
河北卫视,http://183.165.195.249:7000/udp/238.1.78.87:6568$标清
河南卫视,http://183.165.195.249:7000/udp/238.1.79.65:4632
海南卫视,http://183.165.195.249:7000/udp/238.1.79.49:4504
深圳卫视,http://183.165.195.249:7000/udp/238.1.78.156:7120
甘肃卫视,http://183.165.195.249:7000/udp/238.1.78.108:6736$标清
甘肃卫视,http://183.165.195.249:7000/udp/238.1.79.36:4400
西藏卫视,http://183.165.195.249:7000/udp/238.1.78.101:6680
贵州卫视,http://183.165.195.249:7000/udp/238.1.78.244:7824
贵州卫视,http://183.165.195.249:7000/udp/238.1.78.90:6592$标清
辽宁卫视,http://183.165.195.249:7000/udp/238.1.78.21:6096
辽宁卫视,http://183.165.195.249:7000/udp/238.1.78.92:6608$标清
重庆卫视,http://183.165.195.249:7000/udp/238.1.78.31:6176
重庆卫视,http://183.165.195.249:7000/udp/238.1.78.72:6448$标清
陕西卫视,http://183.165.195.249:7000/udp/238.1.78.88:6576$标清
青海卫视,http://183.165.195.249:7000/udp/238.1.78.102:6688
黑龙江卫视,http://183.165.195.249:7000/udp/238.1.78.159:7144

安徽频道,#genre#:
六安社会生活,http://183.165.195.249:7000/udp/238.1.78.145:7032
六安综合频道,http://183.165.195.249:7000/udp/238.1.78.144:7024
南陵新闻综合,http://183.165.195.249:7000/udp/238.1.78.189:7384
合肥新闻频道,http://183.165.195.249:7000/udp/238.1.78.111:6760
宁国新闻综合,http://183.165.195.249:7000/udp/238.1.78.216:7600
安徽农业科教,http://183.165.195.249:7000/udp/238.1.79.40:4432
安徽影视频道,http://183.165.195.249:7000/udp/238.1.79.42:4448
安徽经济生活,http://183.165.195.249:7000/udp/238.1.79.44:4464
广德生活频道,http://183.165.195.249:7000/udp/238.1.78.213:7576
旌德新闻综合,http://183.165.195.249:7000/udp/238.1.78.215:7592
桐城综合频道,http://183.165.195.249:7000/udp/238.1.78.28:6152
池州新闻综合,http://183.165.195.249:7000/udp/238.1.78.147:7048
淮北经济生活,http://183.165.195.249:7000/udp/238.1.78.136:6960
淮南新闻综合,http://183.165.195.249:7000/udp/238.1.78.113:6776
湾沚综合频道,http://183.165.195.249:7000/udp/238.1.78.187:7368
滁州新闻综合,http://183.165.195.249:7000/udp/238.1.78.132:6928
滁州科教频道,http://183.165.195.249:7000/udp/238.1.78.134:6944
繁昌新闻综合,http://183.165.195.249:7000/udp/238.1.78.190:7392
蒙城新闻频道,http://183.165.195.249:7000/udp/238.1.79.19:4264
铜陵新闻综合,http://183.165.195.249:7000/udp/238.1.78.139:6984
阜阳新闻综合,http://183.165.195.249:7000/udp/238.1.78.124:6864
阜阳生活频道,http://183.165.195.249:7000/udp/238.1.78.125:6872
霍邱新闻综合,http://183.165.195.249:7000/udp/238.1.78.119:6824
黄山文旅频道,http://183.165.195.249:7000/udp/238.1.78.131:6920
黄山新闻综合,http://183.165.195.249:7000/udp/238.1.78.130:6912

其他频道,#genre#:
CETV1,http://183.165.195.249:7000/udp/238.1.78.105:6712
CETV2,http://183.165.195.249:7000/udp/238.1.78.106:6720
CETV4,http://183.165.195.249:7000/udp/238.1.78.253:7896
IPTV 魅力时尚,http://183.165.195.249:7000/udp/238.1.78.7:7960
IPTV少儿动画,http://183.165.195.249:7000/udp/238.1.78.6:7952
IPTV收视指南,http://183.165.195.249:7000/udp/238.1.78.8:7968
