# 上海市电信 IP速度测试结果 - 有效IP 9/12
# 测试时间: 2026-02-02 02:49:29
# IP:端口 速度 连接时间(ms)
1.94.26.150:17988 74.0KB/s (ping:174ms)
1.94.48.252:8138 34.9KB/s (ping:180ms)
60.204.136.158:7547 34.7KB/s (ping:194ms)
115.175.34.158:7170 34.6KB/s (ping:176ms)
60.204.210.122:40001 34.5KB/s (ping:180ms)
121.37.187.105:7007 33.8KB/s (ping:199ms)
121.37.190.200:3542 33.7KB/s (ping:214ms)
115.120.226.128:22335 33.7KB/s (ping:196ms)
1.94.42.128:211 33.6KB/s (ping:193ms)

# 失败统计 (3个):
# 101.43.60.203:3002 - HTTP错误
# 202.168.168.50:10000 - 不可用
# 116.233.38.8:8888 - 不可用
