# 北京市电信 IP速度测试结果 - 有效IP 8/11
# 测试时间: 2026-02-13 13:20:42
# IP:端口 速度 连接时间(ms)
49.232.181.26:6000 85.7KB/s (ping:223ms)
115.171.216.84:4000 83.8KB/s (ping:211ms)
123.249.108.37:7100 33.5KB/s (ping:202ms)
113.44.198.31:2082 33.4KB/s (ping:207ms)
123.249.85.64:8092 33.4KB/s (ping:205ms)
113.44.160.132:3522 33.4KB/s (ping:202ms)
123.249.111.29:7272 33.2KB/s (ping:204ms)
123.249.27.48:3689 33.1KB/s (ping:202ms)

# 失败统计 (3个):
# 39.107.86.70:8025 - HTTP错误
# 123.116.130.96:8000 - 不可用
# 125.34.217.51:8000 - 不可用
