# 四川电信 IP速度测试结果 - 有效IP 8/12
# 测试时间: 2026-03-30 03:22:39
# IP:端口 速度 连接时间(ms)
118.112.61.64:888 74.5KB/s (ping:294ms)
171.213.140.251:4022 74.2KB/s (ping:268ms)
171.213.223.230:8800 72.3KB/s (ping:289ms)
171.213.129.7:9100 69.9KB/s (ping:269ms)
171.213.203.193:4000 69.0KB/s (ping:291ms)
182.143.114.136:40000 68.9KB/s (ping:292ms)
171.213.195.94:8880 67.1KB/s (ping:290ms)
171.213.232.140:4000 20.3KB/s (ping:295ms)

# 失败统计 (4个):
# 211.158.155.67:8009 - 不可用
# 125.67.90.17:8888 - 不可用
# 220.167.116.7:8888 - 不可用
# 175.152.130.65:8888 - 链接超时
