# 江苏电信 IP速度测试结果 - 有效IP 9/13
# 测试时间: 2026-02-01 13:07:06
# IP:端口 速度 连接时间(ms)
49.77.20.152:8118 91.8KB/s (ping:246ms)
49.80.175.189:4000 86.8KB/s (ping:229ms)
114.216.50.58:5555 85.0KB/s (ping:2340ms)
49.76.130.105:8001 84.6KB/s (ping:240ms)
114.231.139.40:8888 83.8KB/s (ping:250ms)
121.230.171.128:9981 83.3KB/s (ping:243ms)
121.239.179.141:8000 80.6KB/s (ping:244ms)
117.86.48.47:7777 80.5KB/s (ping:230ms)
221.225.105.114:8887 80.0KB/s (ping:227ms)

# 失败统计 (4个):
# 117.85.174.164:636 - 不可用
# 117.85.174.164:5672 - 不可用
# 117.86.159.242:9000 - 不可用
# 117.85.174.164:7634 - 不可用
